psc,naics,description,0
8135,488190.0,"8505282114!FOAM SEGMENT,EXPLOSION SUPPRE",1
W074,423420.0,THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY17 EXCESS FUNDS IN THE AMOUNT OF $468.03 AND TO ADMINISTRATIVELY CLOSEOUT THIS CONTRACT IAW FAR 4.804 AND AGENCY PROCEDURES. ALL TERMS AND CONDITIONS REMAIN UNCHANGED.,1
DA01,541513.0,SUPPORT SERVICES FOR THE OFFICE OF EMERGENCY MANAGEMENT (OEM) EMERGENCY NOTIFICATION SYSTEM (DOI-ENS),1
R499,541690.0,EXERCISING OPTION PERIOD 1 FOR THE RESEARCH PROJECT FOR UN DECADE OF OCEAN SCIENCE FOR SUSTAINABLE DEVELOPMENT ENGAGEMENT COORDINATION CENTER.,1
5680,423610.0,4549921399!SANDSTROM E635G75 28A SOLID FILM LUBRICA,1
5680,423610.0,"4557372089!T-STAR POWER LAG SCREW- 1/4"" X 5""",1
D325,518210.0,MOD_UPGRADE TO CLIN 2001,1
D320,541519.0,"OT ;; IGF ;; OT 1. THE DEPARTMENT OF VETERANS AFFAIRS (VA), OFFICE OF INFORMATION AND TECHNOLOGY, INFORMATION TECHNOLOGY&OPERATIONS (ITOPS), INFRASTRUCTURE OPERATIONS REQUIRE BRAND NAME CA SOFTWARE MAINTENANCE FOR PERPETUAL SOFTWARE LICENSES CURRENTLY FIELDED WITHIN VA.  THE LICENSES MONITOR THE PERFORMANCE OF THE VA SYSTEMS AND SOFTWARE; AS WELL AS PROVIDE AUTOMATION AND CONFIGURATION DISCOVERY FUNCTIONS.  THE SOFTWARE MAINTENANCE CONSISTS OF SOFTWARE UPGRADES AND UPDATES TO INCLUDE MAJOR RELEASES, POINT R",1
5930,334419.0,"8510564918!SWITCH,SENSITIVE",1
7G21,516210.0,"CONTRACT FOR HIGH SPEED INTERNET AND DIGITAL TV SERVICES FOR US EPA REGION 5 LOCATIONS. SERVICES TO THE VARIOUS LOCATIONS ARE AS PER THE ATTACHED COMCAST SERVICE ORDERS.THE PERIOD OF PERFORMANCE FOR THIS ACTION IS   NOV 1, 2023 TO OCT 31, 2024.",1
